anpr_id,vehicle_id_or_plate,timestamp,toll_plaza,lane,direction,confidence,ocr_corrected
ANPR-S28-00001,DL01ZH3976,2026-07-01T00:17:00Z,Kherki Daula Toll Plaza,2,NORTHBOUND,0.97,DL01ZH3967
ANPR-S28-00002,DL01ZH3976,2026-07-01T00:41:00Z,Kherki Daula Toll Plaza,3,SOUTHBOUND,0.86,DL01ZH3967
ANPR-S28-00003,DL01ZH3976,2026-07-01T00:53:00Z,Kherki Daula Toll Plaza,2,INBOUND,0.83,DL01ZH3967
ANPR-S28-00004,DL01ZH3976,2026-07-01T01:34:00Z,Kherki Daula Toll Plaza,5,OUTBOUND,0.88,DL01ZH3967
ANPR-S28-00005,DL01ZH3967,2026-07-01T01:53:00Z,Kherki Daula Toll Plaza,6,NORTHBOUND,0.97,
ANPR-S28-00006,DL01ZH3967,2026-07-01T02:05:00Z,Kherki Daula Toll Plaza,1,SOUTHBOUND,0.85,
ANPR-S28-00007,DL01ZH3967,2026-07-01T02:36:00Z,Kherki Daula Toll Plaza,1,INBOUND,0.94,
ANPR-S28-00008,DL01ZH3976,2026-07-01T02:55:00Z,Kherki Daula Toll Plaza,5,OUTBOUND,0.89,DL01ZH3967
ANPR-S28-00009,DL01ZH3976,2026-07-01T03:22:00Z,Kherki Daula Toll Plaza,3,NORTHBOUND,0.84,DL01ZH3967
ANPR-S28-00010,DL01ZH3976,2026-07-01T03:56:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.84,DL01ZH3967
ANPR-S28-00011,DL01ZH3967,2026-07-01T04:14:00Z,Kherki Daula Toll Plaza,4,INBOUND,0.99,
ANPR-S28-00012,DL01ZH3967,2026-07-01T04:36:00Z,Kherki Daula Toll Plaza,5,OUTBOUND,0.86,
ANPR-S28-00013,DL01ZH3967,2026-07-01T05:04:00Z,Kherki Daula Toll Plaza,3,NORTHBOUND,0.89,
ANPR-S28-00014,DL01ZH3976,2026-07-01T05:36:00Z,Kherki Daula Toll Plaza,1,SOUTHBOUND,0.84,DL01ZH3967
ANPR-S28-00015,DL01ZH3976,2026-07-01T06:00:00Z,Kherki Daula Toll Plaza,6,INBOUND,0.95,DL01ZH3967
ANPR-S28-00016,DL01ZH3967,2026-07-01T06:33:00Z,Kherki Daula Toll Plaza,4,OUTBOUND,0.93,
ANPR-S28-00017,DL01ZH3967,2026-07-01T06:54:00Z,Kherki Daula Toll Plaza,3,NORTHBOUND,0.87,
ANPR-S28-00018,DL01ZH3976,2026-07-01T07:14:00Z,Kherki Daula Toll Plaza,3,SOUTHBOUND,0.96,DL01ZH3967
ANPR-S28-00019,DL01ZH3967,2026-07-01T07:34:00Z,Kherki Daula Toll Plaza,3,INBOUND,0.89,
ANPR-S28-00020,DL01ZH3967,2026-07-01T08:14:00Z,Kherki Daula Toll Plaza,6,OUTBOUND,0.86,
ANPR-S28-00021,DL01ZH3967,2026-07-01T08:40:00Z,Kherki Daula Toll Plaza,2,NORTHBOUND,0.92,
ANPR-S28-00022,DL01ZH3967,2026-07-01T08:52:00Z,Kherki Daula Toll Plaza,6,SOUTHBOUND,0.84,
ANPR-S28-00023,DL01ZH3967,2026-07-01T09:23:00Z,Kherki Daula Toll Plaza,4,INBOUND,0.86,
ANPR-S28-00024,DL01ZH3976,2026-07-01T09:35:00Z,Kherki Daula Toll Plaza,4,OUTBOUND,0.95,DL01ZH3967
ANPR-S28-00025,DL01ZH3976,2026-07-01T10:16:00Z,Kherki Daula Toll Plaza,2,NORTHBOUND,0.9,DL01ZH3967
ANPR-S28-00026,DL01ZH3967,2026-07-01T10:36:00Z,Kherki Daula Toll Plaza,2,SOUTHBOUND,0.84,
ANPR-S28-00027,DL01ZH3967,2026-07-01T10:59:00Z,Kherki Daula Toll Plaza,2,INBOUND,0.93,
ANPR-S28-00028,DL01ZH3976,2026-07-01T11:18:00Z,Kherki Daula Toll Plaza,5,OUTBOUND,0.88,DL01ZH3967
ANPR-S28-00029,DL01ZH3976,2026-07-01T11:55:00Z,Kherki Daula Toll Plaza,3,NORTHBOUND,0.88,DL01ZH3967
ANPR-S28-00030,DL01ZH3976,2026-07-01T12:16:00Z,Kherki Daula Toll Plaza,6,SOUTHBOUND,0.93,DL01ZH3967
ANPR-S28-00031,DL01ZH3967,2026-07-01T12:40:00Z,Kherki Daula Toll Plaza,4,INBOUND,0.9,
ANPR-S28-00032,DL01ZH3976,2026-07-01T12:59:00Z,Kherki Daula Toll Plaza,5,OUTBOUND,0.88,DL01ZH3967
ANPR-S28-00033,DL01ZH3967,2026-07-01T13:35:00Z,Kherki Daula Toll Plaza,6,NORTHBOUND,0.9,
ANPR-S28-00034,DL01ZH3976,2026-07-01T13:53:00Z,Kherki Daula Toll Plaza,3,SOUTHBOUND,0.87,DL01ZH3967
ANPR-S28-00035,DL01ZH3967,2026-07-01T14:10:00Z,Kherki Daula Toll Plaza,5,INBOUND,0.94,
ANPR-S28-00036,DL01ZH3976,2026-07-01T14:38:00Z,Kherki Daula Toll Plaza,2,OUTBOUND,0.88,DL01ZH3967
ANPR-S28-00037,DL01ZH3976,2026-07-01T15:14:00Z,Kherki Daula Toll Plaza,1,NORTHBOUND,0.93,DL01ZH3967
ANPR-S28-00038,DL01ZH3967,2026-07-01T15:30:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.85,
ANPR-S28-00039,DL01ZH3967,2026-07-01T16:00:00Z,Kherki Daula Toll Plaza,2,INBOUND,0.84,
ANPR-S28-00040,DL01ZH3967,2026-07-01T16:27:00Z,Kherki Daula Toll Plaza,3,OUTBOUND,0.89,
ANPR-S28-00041,DL01ZH3976,2026-07-01T16:47:00Z,Kherki Daula Toll Plaza,4,NORTHBOUND,0.87,DL01ZH3967
ANPR-S28-00042,DL01ZH3976,2026-07-01T17:20:00Z,Kherki Daula Toll Plaza,6,SOUTHBOUND,0.82,DL01ZH3967
ANPR-S28-00043,DL01ZH3976,2026-07-01T17:40:00Z,Kherki Daula Toll Plaza,5,INBOUND,0.9,DL01ZH3967
ANPR-S28-00044,DL01ZH3967,2026-07-01T18:04:00Z,Kherki Daula Toll Plaza,3,OUTBOUND,0.96,
ANPR-S28-00045,DL01ZH3976,2026-07-01T18:39:00Z,Kherki Daula Toll Plaza,3,NORTHBOUND,0.96,DL01ZH3967
ANPR-S28-00046,DL01ZH3976,2026-07-01T18:49:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.87,DL01ZH3967
ANPR-S28-00047,DL01ZH3967,2026-07-01T19:14:00Z,Kherki Daula Toll Plaza,3,INBOUND,0.94,
ANPR-S28-00048,DL01ZH3967,2026-07-01T19:44:00Z,Kherki Daula Toll Plaza,1,OUTBOUND,0.98,
ANPR-S28-00049,DL01ZH3976,2026-07-01T20:04:00Z,Kherki Daula Toll Plaza,3,NORTHBOUND,0.96,DL01ZH3967
ANPR-S28-00050,DL01ZH3976,2026-07-01T20:40:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.94,DL01ZH3967
ANPR-S28-00051,DL01ZH3976,2026-07-01T20:57:00Z,Kherki Daula Toll Plaza,5,INBOUND,0.99,DL01ZH3967
ANPR-S28-00052,DL01ZH3967,2026-07-01T21:33:00Z,Kherki Daula Toll Plaza,6,OUTBOUND,0.84,
ANPR-S28-00053,DL01ZH3967,2026-07-01T21:46:00Z,Kherki Daula Toll Plaza,5,NORTHBOUND,0.94,
ANPR-S28-00054,DL01ZH3967,2026-07-01T22:20:00Z,Kherki Daula Toll Plaza,6,SOUTHBOUND,0.88,
ANPR-S28-00055,DL01ZH3967,2026-07-01T22:45:00Z,Kherki Daula Toll Plaza,5,INBOUND,0.82,
ANPR-S28-00056,DL01ZH3967,2026-07-01T23:02:00Z,Kherki Daula Toll Plaza,6,OUTBOUND,0.92,
ANPR-S28-00057,DL01ZH3967,2026-07-01T23:25:00Z,Kherki Daula Toll Plaza,2,NORTHBOUND,0.88,
