anpr_id,vehicle_id_or_plate,timestamp,toll_plaza,lane,direction,confidence,ocr_corrected
ANPR-S70-00001,DL13CQ4567,2026-08-10T00:09:00Z,Kherki Daula Toll Plaza,2,NORTHBOUND,0.93,
ANPR-S70-00002,DL01KF9898,2026-08-10T00:36:00Z,Kherki Daula Toll Plaza,4,SOUTHBOUND,0.85,
ANPR-S70-00003,DL13CQ4567,2026-08-10T01:00:00Z,Kherki Daula Toll Plaza,6,INBOUND,0.94,
ANPR-S70-00004,DL01KF9889,2026-08-10T01:34:00Z,Kherki Daula Toll Plaza,6,OUTBOUND,0.95,DL01KF9898
ANPR-S70-00005,DL13CQ4567,2026-08-10T01:52:00Z,Kherki Daula Toll Plaza,5,NORTHBOUND,0.84,
ANPR-S70-00006,DL01KF9898,2026-08-10T02:10:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.92,
ANPR-S70-00007,DL13CQ4567,2026-08-10T02:34:00Z,Kherki Daula Toll Plaza,3,INBOUND,0.83,
ANPR-S70-00008,DL01KF9898,2026-08-10T03:03:00Z,Kherki Daula Toll Plaza,2,OUTBOUND,0.98,
ANPR-S70-00009,DL13CQ4567,2026-08-10T03:38:00Z,Kherki Daula Toll Plaza,5,NORTHBOUND,0.91,
ANPR-S70-00010,DL01KF9898,2026-08-10T03:48:00Z,Kherki Daula Toll Plaza,2,SOUTHBOUND,0.98,
ANPR-S70-00011,DL13CQ4567,2026-08-10T04:15:00Z,Kherki Daula Toll Plaza,5,INBOUND,0.86,
ANPR-S70-00012,DL01KF9898,2026-08-10T04:46:00Z,Kherki Daula Toll Plaza,1,OUTBOUND,0.94,
ANPR-S70-00013,DL13CQ4576,2026-08-10T05:14:00Z,Kherki Daula Toll Plaza,5,NORTHBOUND,0.83,DL13CQ4567
ANPR-S70-00014,DL01KF9889,2026-08-10T05:26:00Z,Kherki Daula Toll Plaza,2,SOUTHBOUND,0.83,DL01KF9898
ANPR-S70-00015,DL13CQ4567,2026-08-10T06:07:00Z,Kherki Daula Toll Plaza,5,INBOUND,0.99,
ANPR-S70-00016,DL01KF9898,2026-08-10T06:35:00Z,Kherki Daula Toll Plaza,4,OUTBOUND,0.92,
ANPR-S70-00017,DL13CQ4567,2026-08-10T07:00:00Z,Kherki Daula Toll Plaza,6,NORTHBOUND,0.97,
ANPR-S70-00018,DL01KF9889,2026-08-10T07:12:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.86,DL01KF9898
ANPR-S70-00019,DL13CQ4567,2026-08-10T07:45:00Z,Kherki Daula Toll Plaza,1,INBOUND,0.9,
ANPR-S70-00020,DL01KF9889,2026-08-10T08:10:00Z,Kherki Daula Toll Plaza,6,OUTBOUND,0.84,DL01KF9898
ANPR-S70-00021,DL13CQ4567,2026-08-10T08:40:00Z,Kherki Daula Toll Plaza,6,NORTHBOUND,0.98,
ANPR-S70-00022,DL01KF9898,2026-08-10T08:46:00Z,Kherki Daula Toll Plaza,6,SOUTHBOUND,0.87,
ANPR-S70-00023,DL13CQ4567,2026-08-10T09:23:00Z,Kherki Daula Toll Plaza,6,INBOUND,0.96,
ANPR-S70-00024,DL01KF9889,2026-08-10T09:51:00Z,Kherki Daula Toll Plaza,3,OUTBOUND,0.98,DL01KF9898
ANPR-S70-00025,DL13CQ4567,2026-08-10T10:17:00Z,Kherki Daula Toll Plaza,5,NORTHBOUND,0.86,
ANPR-S70-00026,DL01KF9889,2026-08-10T10:28:00Z,Kherki Daula Toll Plaza,1,SOUTHBOUND,0.84,DL01KF9898
ANPR-S70-00027,DL13CQ4576,2026-08-10T10:57:00Z,Kherki Daula Toll Plaza,6,INBOUND,0.98,DL13CQ4567
ANPR-S70-00028,DL01KF9898,2026-08-10T11:23:00Z,Kherki Daula Toll Plaza,2,OUTBOUND,0.82,
ANPR-S70-00029,DL13CQ4567,2026-08-10T11:46:00Z,Kherki Daula Toll Plaza,5,NORTHBOUND,0.98,
ANPR-S70-00030,DL01KF9898,2026-08-10T12:11:00Z,Kherki Daula Toll Plaza,3,SOUTHBOUND,0.96,
ANPR-S70-00031,DL13CQ4567,2026-08-10T12:42:00Z,Kherki Daula Toll Plaza,3,INBOUND,0.96,
ANPR-S70-00032,DL01KF9889,2026-08-10T12:59:00Z,Kherki Daula Toll Plaza,4,OUTBOUND,0.86,DL01KF9898
ANPR-S70-00033,DL13CQ4567,2026-08-10T13:31:00Z,Kherki Daula Toll Plaza,6,NORTHBOUND,0.97,
ANPR-S70-00034,DL01KF9898,2026-08-10T13:57:00Z,Kherki Daula Toll Plaza,1,SOUTHBOUND,0.85,
ANPR-S70-00035,DL13CQ4576,2026-08-10T14:22:00Z,Kherki Daula Toll Plaza,4,INBOUND,0.86,DL13CQ4567
ANPR-S70-00036,DL01KF9889,2026-08-10T14:55:00Z,Kherki Daula Toll Plaza,4,OUTBOUND,0.89,DL01KF9898
ANPR-S70-00037,DL13CQ4567,2026-08-10T15:09:00Z,Kherki Daula Toll Plaza,4,NORTHBOUND,0.92,
ANPR-S70-00038,DL01KF9889,2026-08-10T15:28:00Z,Kherki Daula Toll Plaza,2,SOUTHBOUND,0.92,DL01KF9898
ANPR-S70-00039,DL13CQ4576,2026-08-10T16:10:00Z,Kherki Daula Toll Plaza,4,INBOUND,0.89,DL13CQ4567
ANPR-S70-00040,DL01KF9889,2026-08-10T16:26:00Z,Kherki Daula Toll Plaza,3,OUTBOUND,0.97,DL01KF9898
ANPR-S70-00041,DL13CQ4567,2026-08-10T16:56:00Z,Kherki Daula Toll Plaza,2,NORTHBOUND,0.84,
ANPR-S70-00042,DL01KF9898,2026-08-10T17:18:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.91,
ANPR-S70-00043,DL13CQ4567,2026-08-10T17:46:00Z,Kherki Daula Toll Plaza,3,INBOUND,0.97,
ANPR-S70-00044,DL01KF9889,2026-08-10T18:03:00Z,Kherki Daula Toll Plaza,4,OUTBOUND,0.84,DL01KF9898
ANPR-S70-00045,DL13CQ4567,2026-08-10T18:22:00Z,Kherki Daula Toll Plaza,1,NORTHBOUND,0.92,
ANPR-S70-00046,DL01KF9889,2026-08-10T18:56:00Z,Kherki Daula Toll Plaza,3,SOUTHBOUND,0.86,DL01KF9898
ANPR-S70-00047,DL13CQ4567,2026-08-10T19:27:00Z,Kherki Daula Toll Plaza,3,INBOUND,0.85,
ANPR-S70-00048,DL01KF9889,2026-08-10T19:46:00Z,Kherki Daula Toll Plaza,1,OUTBOUND,0.9,DL01KF9898
ANPR-S70-00049,DL13CQ4576,2026-08-10T20:11:00Z,Kherki Daula Toll Plaza,1,NORTHBOUND,0.84,DL13CQ4567
ANPR-S70-00050,DL01KF9889,2026-08-10T20:27:00Z,Kherki Daula Toll Plaza,4,SOUTHBOUND,0.97,DL01KF9898
ANPR-S70-00051,DL13CQ4576,2026-08-10T21:06:00Z,Kherki Daula Toll Plaza,4,INBOUND,0.94,DL13CQ4567
ANPR-S70-00052,DL01KF9898,2026-08-10T21:28:00Z,Kherki Daula Toll Plaza,1,OUTBOUND,0.97,
ANPR-S70-00053,DL13CQ4576,2026-08-10T21:58:00Z,Kherki Daula Toll Plaza,6,NORTHBOUND,0.85,DL13CQ4567
ANPR-S70-00054,DL01KF9898,2026-08-10T22:09:00Z,Kherki Daula Toll Plaza,3,SOUTHBOUND,0.83,
ANPR-S70-00055,DL13CQ4567,2026-08-10T22:38:00Z,Kherki Daula Toll Plaza,6,INBOUND,0.94,
ANPR-S70-00056,DL01KF9889,2026-08-10T23:15:00Z,Kherki Daula Toll Plaza,6,OUTBOUND,0.93,DL01KF9898
ANPR-S70-00057,DL13CQ4567,2026-08-10T23:28:00Z,Kherki Daula Toll Plaza,4,NORTHBOUND,0.82,
ANPR-S70-00058,DL01KF9898,2026-08-11T00:01:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.93,
ANPR-S70-00059,DL13CQ4567,2026-08-11T00:13:00Z,Kherki Daula Toll Plaza,2,INBOUND,0.98,
ANPR-S70-00060,DL01KF9898,2026-08-11T00:50:00Z,Kherki Daula Toll Plaza,2,OUTBOUND,0.95,
ANPR-S70-00061,DL13CQ4567,2026-08-11T01:04:00Z,Kherki Daula Toll Plaza,4,NORTHBOUND,0.85,
ANPR-S70-00062,DL01KF9889,2026-08-11T01:29:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.93,DL01KF9898
ANPR-S70-00063,DL13CQ4567,2026-08-11T02:08:00Z,Kherki Daula Toll Plaza,6,INBOUND,0.82,
ANPR-S70-00064,DL01KF9889,2026-08-11T02:27:00Z,Kherki Daula Toll Plaza,1,OUTBOUND,0.9,DL01KF9898
ANPR-S70-00065,DL13CQ4567,2026-08-11T02:47:00Z,Kherki Daula Toll Plaza,3,NORTHBOUND,0.89,
ANPR-S70-00066,DL01KF9889,2026-08-11T03:12:00Z,Kherki Daula Toll Plaza,2,SOUTHBOUND,0.85,DL01KF9898
ANPR-S70-00067,DL13CQ4567,2026-08-11T03:30:00Z,Kherki Daula Toll Plaza,3,INBOUND,0.89,
ANPR-S70-00068,DL01KF9898,2026-08-11T03:57:00Z,Kherki Daula Toll Plaza,1,OUTBOUND,0.94,
ANPR-S70-00069,DL13CQ4576,2026-08-11T04:39:00Z,Kherki Daula Toll Plaza,1,NORTHBOUND,0.97,DL13CQ4567
ANPR-S70-00070,DL01KF9889,2026-08-11T05:04:00Z,Kherki Daula Toll Plaza,3,SOUTHBOUND,0.97,DL01KF9898
ANPR-S70-00071,DL13CQ4567,2026-08-11T05:11:00Z,Kherki Daula Toll Plaza,5,INBOUND,0.92,
ANPR-S70-00072,DL01KF9898,2026-08-11T05:37:00Z,Kherki Daula Toll Plaza,2,OUTBOUND,0.87,
ANPR-S70-00073,DL13CQ4576,2026-08-11T06:07:00Z,Kherki Daula Toll Plaza,6,NORTHBOUND,0.86,DL13CQ4567
