anpr_id,vehicle_id_or_plate,timestamp,toll_plaza,lane,direction,confidence,ocr_corrected
ANPR-S93-00001,DL04XX5889,2026-01-01T00:01:00Z,Kherki Daula Toll Plaza,3,NORTHBOUND,0.92,
ANPR-S93-00002,DL09XX4654,2026-01-01T00:25:00Z,Kherki Daula Toll Plaza,6,SOUTHBOUND,0.96,
ANPR-S93-00003,DL10XX8119,2026-01-01T00:55:00Z,Kherki Daula Toll Plaza,1,INBOUND,0.96,
ANPR-S93-00004,DL10XX7787,2026-01-01T01:21:00Z,Kherki Daula Toll Plaza,2,OUTBOUND,0.92,
ANPR-S93-00005,DL10XX1199,2026-01-01T01:41:00Z,Kherki Daula Toll Plaza,5,NORTHBOUND,0.84,
ANPR-S93-00006,DL04XX3620,2026-01-01T02:11:00Z,Kherki Daula Toll Plaza,6,SOUTHBOUND,0.83,DL04XX3602
ANPR-S93-00007,DL11XX2788,2026-01-01T02:37:00Z,Kherki Daula Toll Plaza,2,INBOUND,0.82,
ANPR-S93-00008,DL10XX4951,2026-01-01T03:07:00Z,Kherki Daula Toll Plaza,6,OUTBOUND,0.87,
ANPR-S93-00009,DL12XX2222,2026-01-01T03:23:00Z,Kherki Daula Toll Plaza,4,NORTHBOUND,0.83,
ANPR-S93-00010,DL02XX6947,2026-01-01T04:01:00Z,Kherki Daula Toll Plaza,3,SOUTHBOUND,0.83,
ANPR-S93-00011,DL03XX5466,2026-01-01T04:26:00Z,Kherki Daula Toll Plaza,5,INBOUND,0.84,
ANPR-S93-00012,DL13XX8924,2026-01-01T04:38:00Z,Kherki Daula Toll Plaza,4,OUTBOUND,0.99,
ANPR-S93-00013,DL09XX1475,2026-01-01T05:06:00Z,Kherki Daula Toll Plaza,2,NORTHBOUND,0.89,DL09XX1457
ANPR-S93-00014,DL01XX4589,2026-01-01T05:44:00Z,Kherki Daula Toll Plaza,2,SOUTHBOUND,0.89,DL01XX4598
ANPR-S93-00015,DL07XX3020,2026-01-01T05:53:00Z,Kherki Daula Toll Plaza,1,INBOUND,0.98,DL07XX3002
ANPR-S93-00016,DL03XX8276,2026-01-01T06:27:00Z,Kherki Daula Toll Plaza,2,OUTBOUND,0.84,DL03XX8267
ANPR-S93-00017,DL12XX4594,2026-01-01T06:51:00Z,Kherki Daula Toll Plaza,6,NORTHBOUND,0.89,
ANPR-S93-00018,DL07XX7990,2026-01-01T07:15:00Z,Kherki Daula Toll Plaza,4,SOUTHBOUND,0.91,DL07XX7909
ANPR-S93-00019,DL05XX4122,2026-01-01T07:38:00Z,Kherki Daula Toll Plaza,2,INBOUND,0.96,
ANPR-S93-00020,DL13XX7141,2026-01-01T08:15:00Z,Kherki Daula Toll Plaza,3,OUTBOUND,0.93,DL13XX7114
ANPR-S93-00021,DL07XX2505,2026-01-01T08:40:00Z,Kherki Daula Toll Plaza,1,NORTHBOUND,0.86,DL07XX2550
ANPR-S93-00022,DL05XX1913,2026-01-01T08:55:00Z,Kherki Daula Toll Plaza,6,SOUTHBOUND,0.89,DL05XX1931
ANPR-S93-00023,DL03XX4056,2026-01-01T09:12:00Z,Kherki Daula Toll Plaza,3,INBOUND,0.96,DL03XX4065
ANPR-S93-00024,DL08XX6814,2026-01-01T09:40:00Z,Kherki Daula Toll Plaza,5,OUTBOUND,0.94,
ANPR-S93-00025,DL03XX7173,2026-01-01T10:14:00Z,Kherki Daula Toll Plaza,3,NORTHBOUND,0.9,DL03XX7137
ANPR-S93-00026,DL02XX3650,2026-01-01T10:43:00Z,Kherki Daula Toll Plaza,2,SOUTHBOUND,0.87,DL02XX3605
ANPR-S93-00027,DL10XX9623,2026-01-01T10:56:00Z,Kherki Daula Toll Plaza,6,INBOUND,0.83,
ANPR-S93-00028,DL09XX1807,2026-01-01T11:34:00Z,Kherki Daula Toll Plaza,2,OUTBOUND,0.95,
ANPR-S93-00029,DL06XX9496,2026-01-01T11:43:00Z,Kherki Daula Toll Plaza,3,NORTHBOUND,0.87,
ANPR-S93-00030,DL07XX2956,2026-01-01T12:25:00Z,Kherki Daula Toll Plaza,3,SOUTHBOUND,0.94,
ANPR-S93-00031,DL04XX8363,2026-01-01T12:30:00Z,Kherki Daula Toll Plaza,2,INBOUND,0.92,DL04XX8336
ANPR-S93-00032,DL08XX7668,2026-01-01T12:56:00Z,Kherki Daula Toll Plaza,4,OUTBOUND,0.85,DL08XX7686
ANPR-S93-00033,DL07XX9805,2026-01-01T13:31:00Z,Kherki Daula Toll Plaza,1,NORTHBOUND,0.93,
ANPR-S93-00034,DL03XX6250,2026-01-01T13:58:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.82,DL03XX6205
ANPR-S93-00035,DL08XX2956,2026-01-01T14:13:00Z,Kherki Daula Toll Plaza,3,INBOUND,0.84,DL08XX2965
ANPR-S93-00036,DL12XX3531,2026-01-01T14:43:00Z,Kherki Daula Toll Plaza,2,OUTBOUND,0.89,DL12XX3513
ANPR-S93-00037,DL11XX5561,2026-01-01T15:06:00Z,Kherki Daula Toll Plaza,6,NORTHBOUND,0.9,
ANPR-S93-00038,DL01XX6152,2026-01-01T15:34:00Z,Kherki Daula Toll Plaza,1,SOUTHBOUND,0.94,DL01XX6125
ANPR-S93-00039,DL11XX5365,2026-01-01T15:55:00Z,Kherki Daula Toll Plaza,3,INBOUND,0.9,DL11XX5356
ANPR-S93-00040,DL08XX2622,2026-01-01T16:33:00Z,Kherki Daula Toll Plaza,3,OUTBOUND,0.94,
ANPR-S93-00041,DL04XX1549,2026-01-01T16:58:00Z,Kherki Daula Toll Plaza,1,NORTHBOUND,0.89,
ANPR-S93-00042,DL03XX8808,2026-01-01T17:19:00Z,Kherki Daula Toll Plaza,4,SOUTHBOUND,0.92,
ANPR-S93-00043,DL07XX9724,2026-01-01T17:43:00Z,Kherki Daula Toll Plaza,1,INBOUND,0.86,
ANPR-S93-00044,DL09XX8214,2026-01-01T17:59:00Z,Kherki Daula Toll Plaza,6,OUTBOUND,0.92,DL09XX8241
ANPR-S93-00045,DL05XX4447,2026-01-01T18:38:00Z,Kherki Daula Toll Plaza,6,NORTHBOUND,0.82,DL05XX4474
ANPR-S93-00046,DL11XX2354,2026-01-01T18:52:00Z,Kherki Daula Toll Plaza,4,SOUTHBOUND,0.89,DL11XX2345
ANPR-S93-00047,DL03XX3660,2026-01-01T19:30:00Z,Kherki Daula Toll Plaza,3,INBOUND,0.86,DL03XX3606
ANPR-S93-00048,DL09XX8939,2026-01-01T19:44:00Z,Kherki Daula Toll Plaza,5,OUTBOUND,0.95,DL09XX8993
ANPR-S93-00049,DL06XX5042,2026-01-01T20:20:00Z,Kherki Daula Toll Plaza,2,NORTHBOUND,0.92,
ANPR-S93-00050,DL04XX7312,2026-01-01T20:41:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.95,
ANPR-S93-00051,DL11XX1600,2026-01-01T20:55:00Z,Kherki Daula Toll Plaza,4,INBOUND,0.9,
ANPR-S93-00052,DL12XX5313,2026-01-01T21:23:00Z,Kherki Daula Toll Plaza,5,OUTBOUND,0.89,DL12XX5331
ANPR-S93-00053,DL05XX1270,2026-01-01T21:55:00Z,Kherki Daula Toll Plaza,6,NORTHBOUND,0.93,
ANPR-S93-00054,DL01XX5170,2026-01-01T22:17:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.88,
ANPR-S93-00055,DL07XX1841,2026-01-01T22:42:00Z,Kherki Daula Toll Plaza,1,INBOUND,0.89,
ANPR-S93-00056,DL08XX5719,2026-01-01T23:05:00Z,Kherki Daula Toll Plaza,3,OUTBOUND,0.88,
ANPR-S93-00057,DL04XX9950,2026-01-01T23:23:00Z,Kherki Daula Toll Plaza,5,NORTHBOUND,0.83,
ANPR-S93-00058,DL10XX7438,2026-01-01T23:48:00Z,Kherki Daula Toll Plaza,3,SOUTHBOUND,0.86,DL10XX7483
ANPR-S93-00059,DL05XX9864,2026-01-02T00:19:00Z,Kherki Daula Toll Plaza,1,INBOUND,0.96,
ANPR-S93-00060,DL03XX7561,2026-01-02T00:54:00Z,Kherki Daula Toll Plaza,6,OUTBOUND,0.86,
ANPR-S93-00061,DL04XX1160,2026-01-02T01:18:00Z,Kherki Daula Toll Plaza,4,NORTHBOUND,0.97,
ANPR-S93-00062,DL05XX2793,2026-01-02T01:36:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.98,DL05XX2739
ANPR-S93-00063,DL02XX3981,2026-01-02T01:56:00Z,Kherki Daula Toll Plaza,6,INBOUND,0.83,DL02XX3918
ANPR-S93-00064,DL04XX7783,2026-01-02T02:22:00Z,Kherki Daula Toll Plaza,1,OUTBOUND,0.98,
ANPR-S93-00065,DL05XX3782,2026-01-02T02:59:00Z,Kherki Daula Toll Plaza,2,NORTHBOUND,0.9,
ANPR-S93-00066,DL11XX1298,2026-01-02T03:16:00Z,Kherki Daula Toll Plaza,3,SOUTHBOUND,0.91,DL11XX1289
ANPR-S93-00067,DL02XX9298,2026-01-02T03:36:00Z,Kherki Daula Toll Plaza,6,INBOUND,0.84,
ANPR-S93-00068,DL10XX2017,2026-01-02T03:58:00Z,Kherki Daula Toll Plaza,5,OUTBOUND,0.91,
ANPR-S93-00069,DL13XX7210,2026-01-02T04:27:00Z,Kherki Daula Toll Plaza,5,NORTHBOUND,0.9,
ANPR-S93-00070,DL04XX9093,2026-01-02T04:56:00Z,Kherki Daula Toll Plaza,3,SOUTHBOUND,0.98,DL04XX9039
ANPR-S93-00071,DL05XX1840,2026-01-02T05:19:00Z,Kherki Daula Toll Plaza,4,INBOUND,0.94,DL05XX1804
ANPR-S93-00072,DL03XX3425,2026-01-02T05:45:00Z,Kherki Daula Toll Plaza,2,OUTBOUND,0.93,
ANPR-S93-00073,DL07XX7461,2026-01-02T06:02:00Z,Kherki Daula Toll Plaza,1,NORTHBOUND,0.92,DL07XX7416
ANPR-S93-00074,DL09XX5523,2026-01-02T06:42:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.96,
ANPR-S93-00075,DL03XX1411,2026-01-02T07:06:00Z,Kherki Daula Toll Plaza,3,INBOUND,0.87,DL03XX1411
