anpr_id,vehicle_id_or_plate,timestamp,toll_plaza,lane,direction,confidence,ocr_corrected
ANPR-S35-00001,DL03AH6076,2026-08-18T00:13:00Z,Kherki Daula Toll Plaza,1,NORTHBOUND,0.89,DL03AH6067
ANPR-S35-00002,DL03AH6067,2026-08-18T00:34:00Z,Kherki Daula Toll Plaza,3,SOUTHBOUND,0.93,
ANPR-S35-00003,DL03AH6067,2026-08-18T01:09:00Z,Kherki Daula Toll Plaza,5,INBOUND,0.85,
ANPR-S35-00004,DL03AH6067,2026-08-18T01:18:00Z,Kherki Daula Toll Plaza,6,OUTBOUND,0.82,
ANPR-S35-00005,DL03AH6067,2026-08-18T01:40:00Z,Kherki Daula Toll Plaza,2,NORTHBOUND,0.86,
ANPR-S35-00006,DL03AH6076,2026-08-18T02:23:00Z,Kherki Daula Toll Plaza,3,SOUTHBOUND,0.9,DL03AH6067
ANPR-S35-00007,DL03AH6076,2026-08-18T02:49:00Z,Kherki Daula Toll Plaza,2,INBOUND,0.86,DL03AH6067
ANPR-S35-00008,DL03AH6076,2026-08-18T03:11:00Z,Kherki Daula Toll Plaza,1,OUTBOUND,0.93,DL03AH6067
ANPR-S35-00009,DL03AH6067,2026-08-18T03:31:00Z,Kherki Daula Toll Plaza,3,NORTHBOUND,0.88,
ANPR-S35-00010,DL03AH6067,2026-08-18T03:54:00Z,Kherki Daula Toll Plaza,1,SOUTHBOUND,0.92,
ANPR-S35-00011,DL03AH6067,2026-08-18T04:10:00Z,Kherki Daula Toll Plaza,6,INBOUND,0.91,
ANPR-S35-00012,DL03AH6067,2026-08-18T04:53:00Z,Kherki Daula Toll Plaza,1,OUTBOUND,0.83,
ANPR-S35-00013,DL03AH6076,2026-08-18T05:09:00Z,Kherki Daula Toll Plaza,2,NORTHBOUND,0.96,DL03AH6067
ANPR-S35-00014,DL03AH6067,2026-08-18T05:45:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.88,
ANPR-S35-00015,DL03AH6067,2026-08-18T05:50:00Z,Kherki Daula Toll Plaza,4,INBOUND,0.84,
ANPR-S35-00016,DL03AH6067,2026-08-18T06:33:00Z,Kherki Daula Toll Plaza,3,OUTBOUND,0.83,
ANPR-S35-00017,DL03AH6067,2026-08-18T06:49:00Z,Kherki Daula Toll Plaza,3,NORTHBOUND,0.89,
ANPR-S35-00018,DL03AH6076,2026-08-18T07:09:00Z,Kherki Daula Toll Plaza,3,SOUTHBOUND,0.91,DL03AH6067
ANPR-S35-00019,DL03AH6067,2026-08-18T07:41:00Z,Kherki Daula Toll Plaza,6,INBOUND,0.88,
ANPR-S35-00020,DL03AH6067,2026-08-18T08:10:00Z,Kherki Daula Toll Plaza,1,OUTBOUND,0.93,
ANPR-S35-00021,DL03AH6076,2026-08-18T08:30:00Z,Kherki Daula Toll Plaza,1,NORTHBOUND,0.93,DL03AH6067
ANPR-S35-00022,DL03AH6076,2026-08-18T08:56:00Z,Kherki Daula Toll Plaza,1,SOUTHBOUND,0.93,DL03AH6067
ANPR-S35-00023,DL03AH6067,2026-08-18T09:16:00Z,Kherki Daula Toll Plaza,5,INBOUND,0.89,
ANPR-S35-00024,DL03AH6076,2026-08-18T09:42:00Z,Kherki Daula Toll Plaza,6,OUTBOUND,0.86,DL03AH6067
ANPR-S35-00025,DL03AH6067,2026-08-18T10:07:00Z,Kherki Daula Toll Plaza,4,NORTHBOUND,0.96,
ANPR-S35-00026,DL03AH6067,2026-08-18T10:36:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.85,
ANPR-S35-00027,DL03AH6067,2026-08-18T11:05:00Z,Kherki Daula Toll Plaza,2,INBOUND,0.83,
ANPR-S35-00028,DL03AH6067,2026-08-18T11:32:00Z,Kherki Daula Toll Plaza,4,OUTBOUND,0.83,
ANPR-S35-00029,DL03AH6067,2026-08-18T11:44:00Z,Kherki Daula Toll Plaza,6,NORTHBOUND,0.86,
ANPR-S35-00030,DL03AH6067,2026-08-18T12:21:00Z,Kherki Daula Toll Plaza,4,SOUTHBOUND,0.97,
ANPR-S35-00031,DL03AH6067,2026-08-18T12:34:00Z,Kherki Daula Toll Plaza,5,INBOUND,0.88,
ANPR-S35-00032,DL03AH6067,2026-08-18T13:13:00Z,Kherki Daula Toll Plaza,1,OUTBOUND,0.84,
ANPR-S35-00033,DL03AH6076,2026-08-18T13:29:00Z,Kherki Daula Toll Plaza,1,NORTHBOUND,0.99,DL03AH6067
ANPR-S35-00034,DL03AH6067,2026-08-18T13:50:00Z,Kherki Daula Toll Plaza,4,SOUTHBOUND,0.96,
ANPR-S35-00035,DL03AH6067,2026-08-18T14:11:00Z,Kherki Daula Toll Plaza,2,INBOUND,0.92,
ANPR-S35-00036,DL03AH6067,2026-08-18T14:35:00Z,Kherki Daula Toll Plaza,4,OUTBOUND,0.88,
ANPR-S35-00037,DL03AH6076,2026-08-18T15:11:00Z,Kherki Daula Toll Plaza,3,NORTHBOUND,0.93,DL03AH6067
ANPR-S35-00038,DL03AH6067,2026-08-18T15:36:00Z,Kherki Daula Toll Plaza,2,SOUTHBOUND,0.95,
ANPR-S35-00039,DL03AH6076,2026-08-18T16:00:00Z,Kherki Daula Toll Plaza,4,INBOUND,0.98,DL03AH6067
ANPR-S35-00040,DL03AH6067,2026-08-18T16:18:00Z,Kherki Daula Toll Plaza,3,OUTBOUND,0.83,
ANPR-S35-00041,DL03AH6076,2026-08-18T16:47:00Z,Kherki Daula Toll Plaza,2,NORTHBOUND,0.95,DL03AH6067
ANPR-S35-00042,DL03AH6076,2026-08-18T17:18:00Z,Kherki Daula Toll Plaza,3,SOUTHBOUND,0.85,DL03AH6067
ANPR-S35-00043,DL03AH6076,2026-08-18T17:34:00Z,Kherki Daula Toll Plaza,3,INBOUND,0.84,DL03AH6067
